"SNo","Title","URL","Selling Price","MRP","Margin","Margin %"
"28","Unibic Choco Kiss Cookie 75 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/UNIBIC/p/000000000000038543","23.6","40.0","16.4","41.0"
"29","Dukes Nice Biscuits 75 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/DUKES/p/000000000000042950","7.75","10.0","2.25","22.5"
"30","Parle Happy Cookies Biscuit 60 g + 20 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/PARLE-HAPPY-HAPPY/p/000000000000015024","9.09","10.0","0.91","9.1"
"31","Britannia Good day Chocochip Cookies 44 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/BRITANNIA/p/000000000000019102","9.09","10.0","0.91","9.1"
"32","Cadbury Bournvita Pro Health Vitamins Chocolate Biscuits 46.5 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/BOURNVITA/p/000000000000017876","9.09","10.0","0.91","9.1"
"33","Nafees Bakers Mini Toast 800 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Bakery/Rusk-%26-Khari/NAFEES/p/000000000000020951","123.12","171.0","47.88","28.0"
"34","Britannia Bourbon Treat Biscuit 150 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/BRITANNIA-TREAT/p/000000000000010210","27.27","30.0","2.73","9.1"
"35","Lotte Choco Pie 18 N (Rs. 10 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/LOTTE/p/000000000000011654","150.0","180.0","30.0","16.67"
"36","Nilon's Paste Ginger, 25 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Jams%2C-Sauces-%26-Pickles/Pickles/NILONS-PASTE/p/000000000000021656","4.46","5.0","0.54","10.8"
"37","Maggi Noodles 72.5 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Noodles%2C-Pasta-%26-Instant-Foods/Noodles%2C-Pasta-%26-Vermicelli/MAGGI/p/000000000000010519","22.01","24.0","1.99","8.29"
"38","Colgate Cibaca Toothpaste 175 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/COLGATE-CIBACA/p/000000000000010390","53.64","59.0","5.36","9.08"
"39","Sunfeast Dream Cream Biscuit Burbon Bliss, 60 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/SUNFEAST/p/000000000000012954","9.09","10.0","0.91","9.1"
"40","Stayfree Secure Dry Sanitary Napkin XL with Wings 7 N","https://www.bestprice.in/bestprice/Personal-care/Sanitary-Needs/Sanitary-Pads/STAYFREE/p/000000000000015254","37.5","42.0","4.5","10.71"
"41","Britannia Good Day Cashew Biscuits 100 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cookies/BRITANNIA/p/000000000000011524","18.18","20.0","1.82","9.1"
"42","Ramdev Hing 100 g","https://www.bestprice.in/bestprice/Oil%2C-Sugar-%26-Masalas/Masala-Spices-%26-Ingredients/Whole-Spices/RAMDEV/p/000000000000025763","212.2","240.0","27.8","11.58"
"43","Parle Elaichi Rusk 273 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Bakery/Rusk-%26-Khari/PARLE/p/000000000000041015","42.33","48.0","5.67","11.81"
"44","Mc Vitie's Health & Marie Digestive Biscuits 1 kg","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Health-%26-Marie/MC-VITIE%27S/p/000000000000017862","150.89","169.0","18.11","10.72"
"45","Colgate Dental Cream Toothpaste 12 N (48 g Each)","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/COLGATE-DENTAL-CREAM/p/000000000000010385","218.18","240.0","21.82","9.09"
"46","Cadbury Celebration Assorted Chocolates Gift Pack 135.7 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Festive-%26-Gifting/CADBURY-CELEBRATION/p/000000000000010817","120.54","135.0","14.46","10.71"
"47","Indulekha Hair Shampoo 16 N (5.5 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/INDULEKHA/p/000000000000042848","26.67","32.0","5.33","16.66"
"48","Dabur Red Toothpaste 100 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/DABUR/p/000000000000010367","50.0","55.0","5.0","9.09"
"49","Vaseline Petroleum Jelly 21 g","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Skin-Creams/VASELINE/p/000000000000011370","41.0","45.0","4.0","8.89"
"50","Dabur Red Toothpaste 50 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/DABUR/p/000000000000010368","18.18","20.0","1.82","9.1"
"51","Cibaca Vedshakti Toothpaste 175 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/COLGATE-CIBACA-VEDSHAKTI/p/000000000000018609","50.0","55.0","5.0","9.09"
"52","Dukes Chocolate Waffy Roll 250 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Wafers/DUKES/p/000000000000012123","75.0","150.0","75.0","50.0"
"53","Alpenliebe Strawberry Juzt Jelly 45 N","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Toffee%2C-Candy-%26-Eclairs/ALPENLIEBE-JUZTJELLY/p/000000000000015480","43.8","50.0","6.2","12.4"
"54","Vaseline Petroleum Jelly 85 g","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Skin-Creams/VASELINE/p/000000000000010835","123.0","135.0","12.0","8.89"
"55","Cinthol Lime Soap 3 N ( 125 g Each)","https://www.bestprice.in/bestprice/Personal-care/Soaps-%26-Body-wash/Bar-Soap/CINTHOL/p/000000000000010595","100.93","109.0","8.07","7.4"
