"SNo","Title","URL","Selling Price","MRP","Margin","Margin %"
"279","Tea Valley Utsah Tea 250 g","https://www.bestprice.in/bestprice/Beverages/Tea-%26-Coffee/Tea-%26-Iced-Tea/TEA-VALLEY/p/000000000000035934","52.04","65.0","12.96","19.94"
"280","Parle Magix Biscuits Elaichi, 12 N (Rs. 5  Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/PARLE-MAGIX/p/000000000000017513","54.55","60.0","5.45","9.08"
"281","Figaro Pure Olive Oil 100 ml","https://www.bestprice.in/bestprice/Oil%2C-Sugar-%26-Masalas/Oil-%26-Ghee/Olive-%26-Canola-Oil/FIGARO/p/000000000000028367","140.25","165.0","24.75","15.0"
"282","GM Instant Mix Gulab Jamun 200 g","https://www.bestprice.in/bestprice/Rice%2C-Atta-%26-Dals/Atta-%26-Flours/Instant-Mixes/GM/p/000000000000037995","89.5","96.0","6.5","6.77"
"283","Fem Oxy Life Bleach Crème 27 g","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Facial-Kits-%26-Bleaches/OXY-LIFE/p/000000000000010880","73.21","82.0","8.79","10.72"
"284","HE Passion Body Perfume 120 ml","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Men%27s-Deos-%26-Sprays/HE/p/000000000000042619","99.0","220.0","121.0","55.0"
"285","Amul Milk Chocolate 150 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/AMUL/p/000000000000044538","86.96","100.0","13.04","13.04"
"286","Nova Nht 1073-00 Usb Runtime:60Min Trimmer 1 N","https://www.bestprice.in/bestprice/Electronics/Styling-Devices/Trimmers-%26-Shavers/NOVA/p/000000000000045220","599.0","999.0","400.0","40.04"
"287","Clean & Clear Foaming Face Wash 50 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Face-Washes/Women%27s-Face-Wash/CLEAN-%26-CLEAR/p/000000000000010277","66.96","75.0","8.04","10.72"
"288","Hair & Care Hair Oil 3 N (100 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Oil-%26-Serums/HAIR-%26-CARE/p/000000000000010496","163.64","180.0","16.36","9.09"
"289","Dove Breakage Therapy Hair Shampoo 180 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/DOVE/p/000000000000013722","145.45","160.0","14.55","9.09"
"290","Great Value Comfy Toothbrush 12 N + 1 N","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Brush/GREAT-VALUE/p/000000000000004374","97.97","240.0","142.03","59.18"
"291","Sunfeast Yippee Saucy Masala Noodles 260 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Noodles%2C-Pasta-%26-Instant-Foods/Noodles%2C-Pasta-%26-Vermicelli/SUNFEAST/p/000000000000043228","53.21","58.0","4.79","8.26"
"292","Swad Candy Regular Pouch, 100 N","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Toffee%2C-Candy-%26-Eclairs/SWAD/p/000000000000030797","84.7","100.0","15.3","15.3"
"293","Parachute Advansed Ayurvedic Gold Hair Oil 280 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Oil-%26-Serums/PARACHUTE/p/000000000000017313","127.27","140.0","12.73","9.09"
"294","Godrej Easy Nat Brown Hair Color 20 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Colors-%26-Dyes/Hair-Color/GODREJ-EXPERT/p/000000000000039529","22.32","25.0","2.68","10.72"
"295","Colgate Extra Clean Toothbrush 12 N","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Brush/COLGATE-EXTRA-CLEAN/p/000000000000010398","160.0","216.0","56.0","25.93"
"296","Crystal Abs Lighter, 1 N","https://www.bestprice.in/bestprice/Restaurant-Supplies-%26-Houseware/Kitchen-%26-Tableware/Cutlery-%26-Kitchen-Tools/CRYSTAL/p/000000000000019781","136.0","190.0","54.0","28.42"
"297","Stayfree Secure Dry Sanitary Napkin XL with Wings, 20 N","https://www.bestprice.in/bestprice/Personal-care/Sanitary-Needs/Sanitary-Pads/STAYFREE/p/000000000000016770","107.14","120.0","12.86","10.72"
"298","Lifelong 7 kg LISWM07P Top Load Semiautomatic Washing Machine 1 N","https://www.bestprice.in/bestprice/Large-Appliances-%26-TV/Washing-Machine/Semi-Automatic/LIFELONG/p/000000000000044736","7899.0","12999.0","5100.0","39.23"
"299","Fair & Lovely Winter Fairness Cream 50 g","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Skin-Creams/FAIR-%26-LOVELY/p/000000000000010827","112.73","124.0","11.27","9.09"
"300","Fogg Rush Body Spray 120 ml","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Men%27s-Deos-%26-Sprays/FOGG/p/000000000000024764","125.0","230.0","105.0","45.65"
"301","Fogg Force Body Spray 120 ml","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Men%27s-Deos-%26-Sprays/FOGG/p/000000000000024763","125.0","230.0","105.0","45.65"
"302","Garnier Acno Fight Men's Face Wash 50 g","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Face-Washes/Men%27s-Facewash/GARNIER/p/000000000000014560","86.09","99.0","12.91","13.04"
"303","Garnier Natural Brown Hair Colour Shade No 4 70 ml + 60 g","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Colors-%26-Dyes/Hair-Color/GARNIER/p/000000000000010477","160.71","180.0","19.29","10.72"
"304","Head & Shoulders Smooth And Silky Hair Shampoo 16 N (7.5 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/HEAD-%26-SHOULDERS/p/000000000000011097","53.0","64.0","11.0","17.19"
"305","MAHARAJA WHITELINE MARK 1 HAPPINESS","https://www.bestprice.in/bestprice/Kitchen-%26-Home-Appliances/Mixer%2C-Juicer-and-Wet-Grinders/Blender/MAHARAJA/p/000000000000043506","2711.5","3699.0","987.5","26.7"
"306","Maggi Tomato Ketchup 500 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Jams%2C-Sauces-%26-Pickles/Sauces-%26-Ketchup/MAGGI/p/000000000000010512","96.32","105.0","8.68","8.27"
"307","Himalaya Baby Powder 200 g","https://www.bestprice.in/bestprice/Personal-care/Baby-Care/Baby-Oil-%26-Powder/Baby-Powder/HIMALAYA/p/000000000000017685","108.0","135.0","27.0","20.0"
"308","Himalaya Sparkling White Toothpaste 150 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/HIMALAYA/p/000000000000020916","86.36","95.0","8.64","9.09"
"309","LG 6 kg FHT1006ZNW Front Load Washing Machine 1 N","https://www.bestprice.in/bestprice/Large-Appliances-%26-TV/Washing-Machine/Fully-Automatic-Front-Load/LG/p/000000000000042341","34990.0","34990.0","0.0","0.0"
"310","Kissan Tomato Ketchup 200 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Jams%2C-Sauces-%26-Pickles/Sauces-%26-Ketchup/KISSAN/p/000000000000010413","55.05","60.0","4.95","8.25"
"311","Savlon Glycerin Soap 3N (75 g Each)","https://www.bestprice.in/bestprice/Personal-care/Soaps-%26-Body-wash/Bar-Soap/SAVLON/p/000000000000016787","97.22","105.0","7.78","7.41"
"312","Pond's Cold Cream 55 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Skin-Creams/PONDS/p/000000000000010829","81.0","89.0","8.0","8.99"
"313","Great Value Mast Masala Noodles 60 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Noodles%2C-Pasta-%26-Instant-Foods/Noodles%2C-Pasta-%26-Vermicelli/GREAT-VALUE/p/000000000000003182","8.0","10.0","2.0","20.0"
"314","Dove Conditioner Daily Shine, 80 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Conditioner/DOVE/p/000000000000011168","81.82","90.0","8.18","9.09"
"315","Vaseline Healthy White Body Lotion 100 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Body-Lotions/VASELINE/p/000000000000010747","95.45","105.0","9.55","9.1"
"316","Intex 1.39 m (54) SU5508 Ultra HD Smart LED TV 1 N","https://www.bestprice.in/bestprice/Large-Appliances-%26-TV/TV/Smart-TV/INTEX/p/000000000000043219","41990.0","76999.0","35009.0","45.47"
"317","Colgate Zig Zag Toothbrush 6 N","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Brush/COLGATE-ZIG-ZAG/p/000000000000010397","133.33","180.0","46.67","25.93"
"318","Colgate Sensitive Toothpaste 80 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/COLGATE-SENSITIVE/p/000000000000010393","108.7","125.0","16.3","13.04"
"319","Stayfree Secure XL Wings Sanitary Pad 1 N","https://www.bestprice.in/bestprice/Personal-care/Sanitary-Needs/Sanitary-Pads/STAYFREE/p/000000000000044033","64.29","72.0","7.71","10.71"
"320","Cadbury Dairy Milk Silk Almond 58 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/CADBURY-DAIRY-MILK-SILK/p/000000000000039496","62.5","70.0","7.5","10.71"
"321","Mamaearth Bhring Amla Shampoo 250 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/MAMAEARTH/p/000000000000044154","261.75","349.0","87.25","25.0"
"322","Clean & Clear Foaming Face Wash 100 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Face-Washes/Women%27s-Face-Wash/CLEAN-%26-CLEAR/p/000000000000010974","125.0","140.0","15.0","10.71"
"323","Fogg Absolute Deo Spray 120 ml","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Men%27s-Deos-%26-Sprays/FOGG/p/000000000000029987","135.0","250.0","115.0","46.0"
"324","Mamaearth Tea Tree Acne & Pimples Face Wash 100 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Face-Washes/Women%27s-Face-Wash/MAMAEARTH/p/000000000000044127","186.75","249.0","62.25","25.0"
"325","Karachi Bakery Osmania Biscuit 400 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cookies/KARACHI/p/000000000000033586","128.0","160.0","32.0","20.0"
"326","Too Yumm Karare Munchy Masala 12 N (19 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Namkeen%2C-Chips-%26-Savory/Chips-%26-Nachos/TOO-YUMM/p/000000000000035726","52.2","60.0","7.8","13.0"
"327","Himalaya Baby Cream 200 ml","https://www.bestprice.in/bestprice/Personal-care/Baby-Care/Baby-Cream-%26-Lotions/HIMALAYA/p/000000000000029556","208.0","260.0","52.0","20.0"
"328","VLCC Almond Body Lotion 350 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Body-Lotions/VLCC/p/000000000000015265","236.0","295.0","59.0","20.0"
"329","Himalaya Scrub Purifying Neem, 50 g","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Face-Washes/Scrubs-%26-Packs/HIMALAYA/p/000000000000024869","68.18","75.0","6.82","9.09"
"330","Camay Soap Natural 3 N (125 g Each)","https://www.bestprice.in/bestprice/Personal-care/Soaps-%26-Body-wash/Bar-Soap/CAMAY/p/000000000000023285","100.0","108.0","8.0","7.41"
"331","Tresemme Smooth & Shine Hair Shampoo 15 N (7 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/TRESEMME/p/000000000000019458","46.85","60.0","13.15","21.92"
"332","Great Value Dishwash Bar 135 g","https://www.bestprice.in/bestprice/Home-care/House-%26-Kitchen-Cleaning/Dishwash/Dishwash-Bar/GREAT-VALUE/p/000000000000003210","8.5","10.0","1.5","15.0"
"333","Nivea Fresh Active Roll On Deodorant 50 ml","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Men%27s-Deos-%26-Sprays/NIVEA/p/000000000000013672","171.05","199.0","27.95","14.05"
"334","Cadbury Gems Minis Hometreat Chocolate 142 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/CADBURY/p/000000000000042777","89.29","100.0","10.71","10.71"
"335","Dabur Amla Hair Oil 275 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Oil-%26-Serums/DABUR/p/000000000000010371","125.45","138.0","12.55","9.09"
"336","Philips BT1230/15 Beard Trimmer 1 N","https://www.bestprice.in/bestprice/Electronics/Styling-Devices/Trimmers-%26-Shavers/PHILIPS/p/000000000000044843","879.0","895.0","16.0","1.79"
"337","Dukes Chocolate Safari 50 N (250 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/DUKES/p/000000000000023502","100.0","120.0","20.0","16.67"
"338","Britannia Nutrichoic Digestive Biscuits 250 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Health-%26-Marie/BRITANNIA/p/000000000000010205","59.09","65.0","5.91","9.09"
"339","HIMALAYA AYURVEDA GUM CARE TOOTHPASTE 15","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/HIMALAYA/p/000000000000042622","90.91","100.0","9.09","9.09"
"340","Fair & Lovely Winter Fairness Cream 25 g","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Skin-Creams/FAIR-%26-LOVELY/p/000000000000010836","60.0","66.0","6.0","9.09"
"341","Hindware Floreo 7 L RO+Copper Water Purifier 1 N","https://www.bestprice.in/bestprice/Kitchen-%26-Home-Appliances/Kitchen-Appliance/Water-Purifier/HINDWARE/p/000000000000044618","6259.0","11990.0","5731.0","47.8"
"342","Park Avenue Voyage Mega Deo 220 ml","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Men%27s-Deos-%26-Sprays/PARK-AVENUE/p/000000000000016746","271.78","329.0","57.22","17.39"
"343","Himalaya Hand Sanitizer Pure Hands, 100 ml","https://www.bestprice.in/bestprice/Personal-care/Soaps-%26-Body-wash/Hand-Sanitizers/HIMALAYA/p/000000000000020061","33.37","50.0","16.63","33.26"
"344","Paree Sanitary Napkin With Wings Extra Soft Feel, 3 N (6 Pads Each)","https://www.bestprice.in/bestprice/Personal-care/Sanitary-Needs/Sanitary-Pads/PAREE/p/000000000000019292","57.75","75.0","17.25","23.0"
"345","Garnier Natural Burgundy Hair Colour Shade No 3.16 40 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Colors-%26-Dyes/Hair-Color/GARNIER/p/000000000000017261","71.79","80.0","8.21","10.26"
"346","Chik Shampoo Sachet Black & Thick, 20 N (6 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/CHIK/p/000000000000010608","18.18","20.0","1.82","9.1"
"347","WHISKAS JUNIOR OCEAN FISH 1.1 kg","https://www.bestprice.in/bestprice/Home-care/Pet-Care/Pet-Food/WHISKAS/p/000000000000033288","350.88","400.0","49.12","12.28"
"348","Whiskas Ocean Fish 1.2 kg","https://www.bestprice.in/bestprice/Home-care/Pet-Care/Pet-Food/WHISKAS/p/000000000000018929","377.19","430.0","52.81","12.28"
"349","Park Avenue Good Morning Deodorant 130 ml","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Men%27s-Deos-%26-Sprays/PARK-AVENUE/p/000000000000013969","179.0","199.0","20.0","10.05"
"350","Tresemme Keratin Smooth Hair Shampoo 185 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/TRESEMME/p/000000000000016259","149.09","164.0","14.91","9.09"
"351","Mamaearth Onion Hair Conditioner 250 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/MAMAEARTH/p/000000000000044153","261.75","349.0","87.25","25.0"
"352","Great Value 21 L Krystal Bucket 1 N","https://www.bestprice.in/bestprice/Restaurant-Supplies-%26-Houseware/Houseware/All-Bathroom-Accessories/GREAT-VALUE/p/000000000000004139","199.0","350.0","151.0","43.14"
"353","Vaseline Healthy White Body Lotion 300 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Body-Lotions/VASELINE/p/000000000000010748","350.0","385.0","35.0","9.09"
"354","Yardley English Rose Deodorant 150 ml","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Women%27s-Deos-%26-Sprays/YARDLEY/p/000000000000013282","181.74","209.0","27.26","13.04"
"355","Mamaearth Vitamin C Body Lotion 400 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Body-Lotions/MAMAEARTH/p/000000000000044702","299.0","399.0","100.0","25.06"
"356","Hershey's Chocolate Syrup 623 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Jams%2C-Sauces-%26-Pickles/Sauces-%26-Ketchup/HERSHEY%27S/p/000000000000014023","193.6","220.0","26.4","12.0"
"357","Great Value Salted Peanuts 12 N (16 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Namkeen%2C-Chips-%26-Savory/Namkeen-%26-Mixtures/GREAT-VALUE/p/000000000000004148","45.6","60.0","14.4","24.0"
"358","Great Value Rose Air Freshener 100 g","https://www.bestprice.in/bestprice/Home-care/Air-%26-Car-Fresheners/Sanitary-Cubes-%26-Blocks/GREAT-VALUE/p/000000000000004650","54.5","60.0","5.5","9.17"
"359","Vicks Vaporub 50 ml","https://www.bestprice.in/bestprice/Health-%26-OTC/Balms-%26-Sprays/VICKS-VAPORUB/p/000000000000010218","120.83","145.0","24.17","16.67"
"360","Great Value Pineapple Agarbatti 75 N","https://www.bestprice.in/bestprice/Home-care/Pooja-Needs/Agarbatti-%26-Dhoop/GREAT-VALUE/p/000000000000004213","40.0","50.0","10.0","20.0"
"361","Clinic Plus Strong & Long Hair Shampoo 175 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/CLINIC-PLUS/p/000000000000013409","95.45","105.0","9.55","9.1"
"362","Unibic Milk Cookies 12 N (Rs. 5 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/UNIBIC/p/000000000000019100","53.0","60.0","7.0","11.67"
"363","Clinic Plus Strong & Long Hair Shampoo 80 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/CLINIC-PLUS/p/000000000000013403","47.27","52.0","4.73","9.1"
"364","Sensodyne Expert Toothbrush Sensitive, 4 N","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Brush/SENSODYNE/p/000000000000016550","100.0","135.0","35.0","25.93"
"365","Godrej Expert Easy Black Hair Colour 20 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Colors-%26-Dyes/Hair-Color/GODREJ-EXPERT/p/000000000000039250","22.32","25.0","2.68","10.72"
"366","Tops Red Chilli Sauce 1.15 kg","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Jams%2C-Sauces-%26-Pickles/Sauces-%26-Ketchup/TOPS-SAUCE/p/000000000000017500","72.66","97.0","24.34","25.09"
"367","Colgate Toothbrush Zig Zag, 6 N","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Brush/COLGATE-ZIG-ZAG/p/000000000000023631","88.89","120.0","31.11","25.92"
"368","Pedigree Medium Mono Dentastix 180 g","https://www.bestprice.in/bestprice/Home-care/Pet-Care/Pet-Food/PEDIGREE/p/000000000000017828","153.51","175.0","21.49","12.28"
"369","Havells Cooler Model Fresco, Capacity 24 L, 1 N","https://www.bestprice.in/bestprice/Large-Appliances-%26-TV/Air-Cooler/Personal-Air-Cooler/HAVELLS/p/000000000000020471","7065.0","10290.0","3225.0","31.34"
"370","Universal Soup Strainer Size 16 cm, 1 N","https://www.bestprice.in/bestprice/Restaurant-Supplies-%26-Houseware/Kitchen-%26-Tableware/Cutlery-%26-Kitchen-Tools/UNIVERSAL/p/000000000000010707","165.0","199.0","34.0","17.09"
"371","Wingreens Premium Veg Mayo 800 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Jams%2C-Sauces-%26-Pickles/Jams%2C-Spreads-%26-Mayonnaise/WINGREENS/p/000000000000039352","169.15","199.0","29.85","15.0"
"372","Cadbury Shots 56 N (Rs. 5 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/CADBURY-SHOTS/p/000000000000030147","254.55","280.0","25.45","9.09"
"373","Gm Moong Dal Halwa 200 g","https://www.bestprice.in/bestprice/Rice%2C-Atta-%26-Dals/Atta-%26-Flours/Instant-Mixes/GM/p/000000000000042343","96.0","98.0","2.0","2.04"
"374","Food Craft Elbow Pasta 500 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Noodles%2C-Pasta-%26-Instant-Foods/Noodles%2C-Pasta-%26-Vermicelli/FOOD-CRAFT/p/000000000000025080","116.07","130.0","13.93","10.72"
"375","Passpass Pulse Jar Triple Twist, 600 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Toffee%2C-Candy-%26-Eclairs/PULSE/p/000000000000035777","150.0","167.0","17.0","10.18"
"376","Narmada Premium Wand Basmati Rice Raw, 10 kg","https://www.bestprice.in/bestprice/Rice%2C-Atta-%26-Dals/Rice-%26-Rice-Products/Basmati/NARMADA/p/000000000000016417","894.0","1230.0","336.0","27.32"
"377","L'Oreal Darkest Brown Hair Colour 72 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Colors-%26-Dyes/Hair-Color/L%27OREAL/p/000000000000010488","491.07","550.0","58.93","10.71"
"378","Bikano Khatta Meetha 1 kg","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Namkeen%2C-Chips-%26-Savory/Namkeen-%26-Mixtures/BIKANO/p/000000000000012028","180.28","247.0","66.72","27.01"
"379","Wingreens Premium Veg Mayo 450 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Jams%2C-Sauces-%26-Pickles/Jams%2C-Spreads-%26-Mayonnaise/WINGREENS/p/000000000000025408","126.65","149.0","22.35","15.0"
"380","Jivo Canola Oil 5 L","https://www.bestprice.in/bestprice/Oil%2C-Sugar-%26-Masalas/Oil-%26-Ghee/Olive-%26-Canola-Oil/JIVO/p/000000000000028233","1240.0","1650.0","410.0","24.85"
"381","GLONUTS ALMOND 1kg","https://www.bestprice.in/bestprice/Rice%2C-Atta-%26-Dals/Dry-Fruits/Almond/GLONUTS/p/000000000000027568","799.0","1399.0","600.0","42.89"
"382","Amul Butter Blister Pack, 100 N (10 g Each)","https://www.bestprice.in/bestprice/Dairy%2C-Fresh-%26-Frozen/Dairy/Butter-%26-Margarine/AMUL/p/000000000000010310","484.53","530.0","45.47","8.58"
"383","Prestige Cooktop 3 Burner Model-GTM 03, 1 N","https://www.bestprice.in/bestprice/Kitchen-%26-Home-Appliances/Cooktop-%26-Chimney/Cooktop/PRESTIGE/p/000000000000018049","5259.0","6995.0","1736.0","24.82"
"384","Novex Kitchen Knife 3N","https://www.bestprice.in/bestprice/Restaurant-Supplies-%26-Houseware/Kitchen-%26-Tableware/Cutlery-%26-Kitchen-Tools/NOVEX/p/000000000000010191","75.0","139.0","64.0","46.04"
"385","Himalaya Purifying Tulsi Handwash 750 ml","https://www.bestprice.in/bestprice/Personal-care/Soaps-%26-Body-wash/Hand-Wash/HIMALAYA/p/000000000000038963","104.55","115.0","10.45","9.09"
"386","Colgate Total Charcoal Deep CleanTooth Paste 120 g + 120 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/COLGATE/p/000000000000020020","187.07","210.0","22.93","10.92"
"387","Parachute Advanced Aloe Enriched Coconut Oil 400 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Oil-%26-Serums/PARACHUTE-ADVANSED/p/000000000000045554","190.91","210.0","19.09","9.09"
"388","Nivea Whitening Roll On Deo 50 ml","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Women%27s-Deos-%26-Sprays/NIVEA/p/000000000000018658","171.05","199.0","27.95","14.05"
"389","Nupur Hair Mehendi 400 g","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Colors-%26-Dyes/Henna/NUPUR/p/000000000000011057","173.04","199.0","25.96","13.05"
"390","Camay Chic Fragrance Soap 3 N (125 g Each)","https://www.bestprice.in/bestprice/Personal-care/Soaps-%26-Body-wash/Bar-Soap/CAMAY/p/000000000000023287","100.0","108.0","8.0","7.41"
"391","Ferrero Rocher T - 16 Chocolate 200 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/FERRERO-ROCHER/p/000000000000011142","470.22","529.0","58.78","11.11"
"392","Colgate Toothbrush Star, 12N","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Brush/COLGATE-STAR/p/000000000000021599","133.33","180.0","46.67","25.93"
"393","Cadbury Oreo Strawberry Creme Biscuit 50 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/CADBURY-OREO/p/000000000000014834","109.09","120.0","10.91","9.09"
"394","Kaff 4 Burner Cooktop Model KC 57 4BSBJ 1 N","https://www.bestprice.in/bestprice/Kitchen-%26-Home-Appliances/Cooktop-%26-Chimney/Cooktop/KAFF/p/000000000000038629","6062.0","10290.0","4228.0","41.09"
"395","Nestle Milky Bar Moosha 24 N","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/NESTLE/p/000000000000030618","214.29","240.0","25.71","10.71"
"396","VLCC Neem Face Wash 150 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Face-Washes/VLCC/p/000000000000020662","133.0","190.0","57.0","30.0"
"397","Indulekha Ayurvedic Liquid Hair Wash 100 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Oil-%26-Serums/INDULEKHA/p/000000000000029844","122.73","135.0","12.27","9.09"
"398","Park Avenue Voyage Perfume Spray 1 N","https://www.bestprice.in/bestprice/Personal-care/Deos%2C-Talcs-%26-Perfumes/Men%27s-Deos-%26-Sprays/PARK-AVENUE/p/000000000000017177","396.52","480.0","83.48","17.39"
"399","Pigeon Handy Chopper Blade 3 N","https://www.bestprice.in/bestprice/Restaurant-Supplies-%26-Houseware/Kitchen-%26-Tableware/Cutlery-%26-Kitchen-Tools/PIGEON/p/000000000000025361","217.0","545.0","328.0","60.18"
"400","Himalaya Gentle Baby Wipes 72 N","https://www.bestprice.in/bestprice/Personal-care/Baby-Care/Baby-Diaper-%26-Wipes/HIMALAYA/p/000000000000017106","160.0","200.0","40.0","20.0"
